array,code,name,latitude,longitude
IMAGE,MEK,Mekrijärvi,62.77,30.97
IMAGE,HAN,Hankasalmi,62.25,26.6
IMAGE,DOB,Dombas,62.07,9.11
IMAGE,SOL,Solund,61.08,4.84
IMAGE,NUR,Nurmijärvi,60.5,24.65
IMAGE,HAR,Harestua,60.21,10.71
IMAGE,UPS,Uppsala,59.9,17.35
IMAGE,KAR,Karmoy,59.21,5.24
IMAGE,TAR,Tartu,58.26,26.46
IMAGE,BRZ,Birzai,56.17,24.86
IMAGE,HLP,Hel,54.61,18.82
IMAGE,SUW,Suwałki,54.01,23.18
IMAGE,WNG,Wingst,53.74,9.07
IMAGE,NGK,Niemegk,52.07,12.68
IMAGE,PPN,Polesie,51.45,23.13
GIMA,ARCT,Arctic Village,68.133,-145.567
GIMA,BETT,Bettles,66.901,-151.554
GIMA,CIGO,College Int'l Geophysical Observatory,64.873,-147.86
GIMA,EAGL,Eagle,64.78,-141.162
GIMA,FYKN,Fort Yukon,66.56,-145.214
GIMA,GAKO,Gakona,62.393,-145.13
GIMA,HLMS,High Latitude Monitoring Station,61.235,-149.872
GIMA,HOMR,Homer,59.658,-151.651
GIMA,KAKO,Kaktovik,70.135,-143.65
GIMA,KENA,Kenai College,60.554,-151.258
GIMA,POKR,Poker Flat,65.119,-147.433
GIMA,TRAP,Trapper Creek,62.24,-150.42
MACCS,NAN,Nain,56.4,-61.7
MACCS,PGG,Pangnirtung,66.1,-65.8
MACCS,CRV,Clyde River,70.5,-68.6
MACCS,CDR,Cape Dorset,64.2,-76.6
MACCS,IGL,Igloolik,69.3,-81.8
MACCS,CHB,Coral Harbour,64.188,-83.35
MACCS,RBY,Repulse Bay,66.524,-86.231
MACCS,PEB,Pelly Bay,68.538,-89.789
MACCS,GJO,Gjoa Haven,68.633,-95.85
McMAC,AMER,Americus,38.5,-96.3
McMAC,BENN,Bennington,41.36,-97.16
McMAC,GLYN,Glyndon,46.87,-96.45
McMAC,LRES,Linares,24.8,-99.6
McMAC,LYFD,Lyford,26.4,-97.8
McMAC,PCEL,Purcell,35.0,-97.4
McMAC,RICH,Richardson,32.98,-97.75
McMAC,SATX,San Antonio,29.44,-98.61
McMAC,WRTH,Worthington,43.6,-95.6
THEMIS,BMLS,Bay Mills,46.48,-84.69
THEMIS,CCNV,Carson City,39.19,-119.78
THEMIS,CHBG,Chibougamau,49.814,-74.419
THEMIS,DRBY,Derby,44.95,-72.13
THEMIS,GBAY,Goose Bay,53.316,-60.46
THEMIS,HOTS,Hot Springs,47.59,-114.66
THEMIS,KAPU,Kapuskasing,49.392,-82.32
THEMIS,KIAN,Kiana,66.971,-160.438
THEMIS,KUUJ,Kuujjuaq,58.1,-68.4
THEMIS,LOYS,Loysburg,40.18,-78.38
THEMIS,MCGR,Mcgrath,62.953,-155.596
THEMIS,PGEO,Prince George,53.815,-122.828
THEMIS,PINE,Pine Ridge,43.08,-102.59
THEMIS,PTRS,Petersburg,56.81,-132.95
THEMIS,RMUS,Remus,43.66,-85.14
THEMIS,SNAP,Snap Lake,63.58,-110.87
THEMIS,SWNO,Shawano,44.78,-88.6
THEMIS,TPAS,The Pas,53.994,-100.941
THEMIS,UKIA,Ukiah,45.14,-118.93
THEMIS,WHIT,Whitehorse,61.01,-135.223
USGS,BOU,Boulder,40.14,-105.237
USGS,BRW,Point Barrow,71.32,-156.62
USGS,BSL,NASA Stennis Space Center,30.35,-89.636
USGS,CMO,Fairbanks,64.87,-147.86
USGS,DED,Dead Horse,70.36,-148.793
USGS,FRD,Corbin,38.2,-77.373
USGS,FRN,Fresno,37.09,-119.713
USGS,GUA,Dededo,13.59,144.869
USGS,HON,Honolulu,21.32,-158.0
USGS,NEW,Colville National Forest,48.27,-117.123
USGS,SHU,Sand Point,55.38,-160.464
USGS,SIT,Sitka,57.06,-135.327
USGS,SJG,Cayey,18.11,-66.15
USGS,TUC,Tucson,32.17,-110.734
PENGUIN,PG0,Antarctica,-83.67,88.681
PENGUIN,PG1,Antarctica,-85.501,77.199
PENGUIN,PG2,Antarctica,-84.419,57.956
PENGUIN,PG3,Antarctica,-84.81,37.62
PENGUIN,PG4,Antarctica,-83.34,12.25
PENGUIN,PG5,Antarctica,-81.96,5.71
